source_id;dataset_id;carbon_analysis_method;assignment_basis;row_count;evidence_reference;notes
bdsolos_embrapa;bdsolos_public_carbono_organico;Não informado;metodo_analitico_ausente_na_exportacao_publica;14356;https://www.bdsolos.cnptia.embrapa.br/;
hybras_sgb;hybras_v1_2020;Não informado;campo_fonte_vazio:OC_OM_Method;5;"data/raw/hybras/v1_2020/HYBRAS_COMPLETE_V1.xlsx; doi:10.2136/vzj2017.05.0095";
hybras_sgb;hybras_v1_2020;Oxidação úmida - Walkley-Black (1934), espectrofotometria;campo_fonte:OC_OM_Method;34;"data/raw/hybras/v1_2020/HYBRAS_COMPLETE_V1.xlsx; doi:10.2136/vzj2017.05.0095";Walkley&Black (1934) com determinação por espectrofotometria
hybras_sgb;hybras_v1_2020;Oxidação úmida - Walkley-Black (1934), titulação;campo_fonte:OC_OM_Method;206;"data/raw/hybras/v1_2020/HYBRAS_COMPLETE_V1.xlsx; doi:10.2136/vzj2017.05.0095";Walkley&Black (1934) com determinação por titulação
hybras_sgb;hybras_v1_2020;Oxidação úmida - Walkley-Black (1934), titulação;campo_fonte:OC_OM_Method;380;"data/raw/hybras/v1_2020/HYBRAS_COMPLETE_V1.xlsx; doi:10.2136/vzj2017.05.0095";"Walkley&Black (1934) com determinação por titulação; Carbono Orgânico x 1.724"
hybras_sgb;hybras_v1_2020;Oxidação úmida - Walkley-Black modificado/Mebius (1960);campo_fonte:OC_OM_Method;6;"data/raw/hybras/v1_2020/HYBRAS_COMPLETE_V1.xlsx; doi:10.2136/vzj2017.05.0095";Walkley&Black modificado (Mebius, 1960)
israd_brazil;israd_flat_layer;Combustão seca - LECO Carbon Analyzer;documentacao_do_estudo:Lähteenoja_2009;52;doi:10.1111/j.1365-2486.2009.01920.x;
israd_brazil;israd_flat_layer;Combustão seca - analisador elementar / IRMS de fluxo contínuo (CENA);documentacao_do_estudo:Telles_2003;36;doi:10.1029/2002GB001953;
israd_brazil;israd_flat_layer;Combustão seca - analisador elementar / IRMS de fluxo contínuo (CENA);propagado_por_grupo_duplicado_inequivoco;2;dup-000911;
israd_brazil;israd_flat_layer;Combustão seca - analisador elementar / IRMS de fluxo contínuo (CENA);propagado_por_grupo_duplicado_inequivoco;2;dup-000912;
israd_brazil;israd_flat_layer;Combustão seca - analisador elementar / IRMS de fluxo contínuo (CENA);propagado_por_grupo_duplicado_inequivoco;2;dup-000913;
