source_id;source_name;dataset_id;title;url;country_scope;access_type;brazil_filter;candidate_target_fields;target_fit_score;implementation_status;license;notes;retrieved_at
soildata;SoilData;soildata_repository;SoilData Brazilian soil data repository;https://www.pedometria.org/soildata/;Brazil;dataverse_search;native_brazil_repository;carbon, organic carbon, bulk density, layer depth, coarse fragments;high;catalog_only;;"Repository-level catalog entry; detailed datasets are discovered through the Dataverse search adapter.";2026-07-12T02:02:24Z
febr;FEBR;febr_repository;Repositorio Brasileiro Livre para Dados Abertos do Solo;https://www.pedometria.org/febr/;Brazil;catalog;native_brazil_repository;carbon, soil properties, profile observations;medium;catalog_only;;"Legacy Brazilian soil repository migrated toward SoilData; kept for traceability.";2026-07-12T02:02:24Z
bdsolos_embrapa;SISolos / BD Solos Embrapa;bdsolos_embrapa;Sistema de Informacao de Solos Brasileiros;https://www.bdsolos.cnptia.embrapa.br/;Brazil;web_application;native_brazil_system;soil profile and laboratory variables when public export is available;high;catalog_only;;"Repository-level catalog entry; public organic carbon CSV export is ingested by the BD Solos adapter.";2026-07-12T02:02:24Z
wosis_brazil;WoSIS Brazil subset;wosis;World Soil Information Service filtered to Brazil;https://www.isric.org/explore/wosis;Global;external_download_or_api;filter_points_inside_brazil;organic carbon, total carbon, bulk density, coarse fragments, layer depth;high;catalog_only;;"Global source; first implementation inventories it and reserves source priority for later Brazil-only ingestion.";2026-07-12T02:02:24Z
israd_brazil;ISRaD Brazil subset;israd;International Soil Radiocarbon Database filtered to Brazil;https://www.soilradiocarbon.org/database-1;Global;zip_csv_download;filter_points_inside_brazil;percent carbon, bulk density, layer depth, site coordinates;medium;catalog_only;CC BY 4.0;"Global radiocarbon source; first implementation inventories it and reserves source priority for later Brazil-only ingestion.";2026-07-12T02:02:24Z
ibge_bdia;BDiA / IBGE;bdia_ibge;Banco de Dados e Informacoes Ambientais;https://bdiaweb.ibge.gov.br/;Brazil;catalog;native_brazil_environmental_catalog;soil classes and environmental context;low;catalog_only;;Useful for future covariates, not for target observations in this phase.;2026-07-12T02:02:24Z
radam_ibge;RADAM / IBGE;radam_ibge;RADAMBRASIL soil and environmental survey references;https://www.ibge.gov.br/;Brazil;document_or_map_catalog;native_brazil_historical_reference;soil classes and historical survey maps;low;catalog_only;;"Useful as historical reference; PDF/OCR extraction is outside this phase.";2026-07-12T02:02:24Z
siga_go_solos_ibge;SIGA-GO Solos - IBGE;siga_dataset_423;Solos - IBGE;https://siga.meioambiente.go.gov.br/catalogue/#/dataset/423;Brazil: Goias;geonode_wfs;native_goias_layer;soil order, texture, horizon, relief, stoniness;low;catalog_only;not_specified;"Pedological polygon layer for Goias; covariate candidate, not target observations.";2026-07-12T02:02:24Z
soildata_search;SoilData Dataverse Search;doi:10.60502/SoilData/R91CFI;"Dados de ""Estoque de Carbono e Caracterização da Matéria Orgânica do Solo em Diferentes Sistemas de Manejo no Bioma Mata Atlântica""";https://doi.org/10.60502/SoilData/R91CFI;Brasil;dataverse_search_result;native_brazil_repository;coordinates, layer depth, carbon content, bulk density when available;high;implemented;;Os dados são resultados de um estudo de dissertação que teve como propósito quantificar e caracterizar o carbono orgânico total (COT), o carbono mineralizável (C-CO2) e as frações químicas e físicas da matéria orgânica do solo (MOS) em diferentes sistemas de manejo, visando avaliar a qualidade do solo. A natureza dos dados é de atributos físico-químicos e biológicos do solo, obtidos por meio de análises laboratoriais. Foram determinadas variáveis como densidade do solo, teores e estoques de COT,;2026-07-12T02:02:24Z
soildata_search;SoilData Dataverse Search;doi:10.60502/SoilData/H4QMEL;Estoque de carbono do solo em sistemas agrícolas no oeste de Santa Catarina;https://doi.org/10.60502/SoilData/H4QMEL;Brasil;dataverse_search_result;native_brazil_repository;described in dataset metadata;high;catalog_only;;O objetivo do trabalho foi avaliar o estoque de carbono em sistemas de uso do solo no Oeste de Santa Catarina. As coletas foram realizadas no município de Tigrinhos, SC. Foram estimados a densidade, os teores e estoques de C nos solos em áreas de mata nativa, pastagem perene, sistema de integração lavoura pecuária (ILP), plantio direto e um pomar de frutíferas, nas profundidades de 0-5 cm, 5-10 cm, 10-20 cm, 20-30 cm, 30-40 cm e 40-50 cm.;2026-07-12T02:02:24Z
