LATITUDE;LONGITUDE;BIOME;OUTPUT_STATUS;MATCH_METHOD;CANDIDATE_COUNT;ROW_COUNT;IBGE_EDITION;IBGE_SCALE;LAYER_CRS;SOURCE_URL;ARCHIVE_SHA256
-23.8;-54.1;Mata Atlântica;kept;point_in_polygon;1;25;2025;1:250000;EPSG:4674;https://geoftp.ibge.gov.br/informacoes_ambientais/estudos_ambientais/biomas/vetores/2025_Biomas-e-Sistema-Costeiro-Marinho-do-Brasil-1-250000_shp.zip;247B15C427070805044EBE02012F15552850D535FBFECADDB359875CDDA1EA8F
-29.348825;-53.664029;Pampa;kept;point_in_polygon;1;5;2025;1:250000;EPSG:4674;https://geoftp.ibge.gov.br/informacoes_ambientais/estudos_ambientais/biomas/vetores/2025_Biomas-e-Sistema-Costeiro-Marinho-do-Brasil-1-250000_shp.zip;247B15C427070805044EBE02012F15552850D535FBFECADDB359875CDDA1EA8F
-29.355601;-53.660333;Pampa;kept;point_in_polygon;1;5;2025;1:250000;EPSG:4674;https://geoftp.ibge.gov.br/informacoes_ambientais/estudos_ambientais/biomas/vetores/2025_Biomas-e-Sistema-Costeiro-Marinho-do-Brasil-1-250000_shp.zip;247B15C427070805044EBE02012F15552850D535FBFECADDB359875CDDA1EA8F
-29.347782;-53.66118;Pampa;kept;point_in_polygon;1;5;2025;1:250000;EPSG:4674;https://geoftp.ibge.gov.br/informacoes_ambientais/estudos_ambientais/biomas/vetores/2025_Biomas-e-Sistema-Costeiro-Marinho-do-Brasil-1-250000_shp.zip;247B15C427070805044EBE02012F15552850D535FBFECADDB359875CDDA1EA8F
-29.348611;-53.66078;Pampa;kept;point_in_polygon;1;5;2025;1:250000;EPSG:4674;https://geoftp.ibge.gov.br/informacoes_ambientais/estudos_ambientais/biomas/vetores/2025_Biomas-e-Sistema-Costeiro-Marinho-do-Brasil-1-250000_shp.zip;247B15C427070805044EBE02012F15552850D535FBFECADDB359875CDDA1EA8F
-29.351567;-53.659539;Pampa;kept;point_in_polygon;1;5;2025;1:250000;EPSG:4674;https://geoftp.ibge.gov.br/informacoes_ambientais/estudos_ambientais/biomas/vetores/2025_Biomas-e-Sistema-Costeiro-Marinho-do-Brasil-1-250000_shp.zip;247B15C427070805044EBE02012F15552850D535FBFECADDB359875CDDA1EA8F
-29.353908;-53.658415;Pampa;kept;point_in_polygon;1;5;2025;1:250000;EPSG:4674;https://geoftp.ibge.gov.br/informacoes_ambientais/estudos_ambientais/biomas/vetores/2025_Biomas-e-Sistema-Costeiro-Marinho-do-Brasil-1-250000_shp.zip;247B15C427070805044EBE02012F15552850D535FBFECADDB359875CDDA1EA8F
-29.349658;-53.658017;Pampa;kept;point_in_polygon;1;5;2025;1:250000;EPSG:4674;https://geoftp.ibge.gov.br/informacoes_ambientais/estudos_ambientais/biomas/vetores/2025_Biomas-e-Sistema-Costeiro-Marinho-do-Brasil-1-250000_shp.zip;247B15C427070805044EBE02012F15552850D535FBFECADDB359875CDDA1EA8F
-29.350457;-53.65777;Pampa;kept;point_in_polygon;1;5;2025;1:250000;EPSG:4674;https://geoftp.ibge.gov.br/informacoes_ambientais/estudos_ambientais/biomas/vetores/2025_Biomas-e-Sistema-Costeiro-Marinho-do-Brasil-1-250000_shp.zip;247B15C427070805044EBE02012F15552850D535FBFECADDB359875CDDA1EA8F
-29.35393;-53.656388;Pampa;kept;point_in_polygon;1;5;2025;1:250000;EPSG:4674;https://geoftp.ibge.gov.br/informacoes_ambientais/estudos_ambientais/biomas/vetores/2025_Biomas-e-Sistema-Costeiro-Marinho-do-Brasil-1-250000_shp.zip;247B15C427070805044EBE02012F15552850D535FBFECADDB359875CDDA1EA8F
