SOURCE_ID;DATASET_ID;LATITUDE;LONGITUDE;CRS;COUNTRY;STATE;BIOME;SAMPLE_DATE;SAMPLE_YEAR;DEPTH_TOP_CM;DEPTH_BOTTOM_CM;LAYER_THICKNESS_CM;CARBON_CONTENT_G_KG;CARBON_ANALYSIS_METHOD;BULK_DENSITY_G_CM3;COARSE_FRAGMENTS_FRACTION;CARBON_STOCK_KG_M2;CARBON_STOCK_Mg_ha;TARGET_VALUE;TARGET_UNIT;STOCK_CALCULATION_METHOD;ORIGINAL_TARGET_KIND;ORIGINAL_TARGET_VALUE;ORIGINAL_TARGET_UNIT;QUALITY_FLAG;DUPLICATE_GROUP_ID;DUPLICATE_STATUS;DUPLICATE_RESOLUTION
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;0;20;20;10.823369;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;2.791661;27.916606;27.916606;Mg/ha;estimated_from_organic_matter_proxy_g_dm3_van_bemmelen_0_58_with_back_calculated_carbon_content_estimated_bulk_density_state_depth;organic_matter_proxy;26.78;g/dm3;proxy_target;dup-000845;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;0;5;5;2.3;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.148309;1.483092;1.483092;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_af;2.3;g/kg;ok;dup-000846;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;0;5;5;2.95;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.190223;1.902226;1.902226;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_ah;2.95;g/kg;ok;dup-000847;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;0;5;5;7.25;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.467496;4.674963;4.674963;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_hum;7.25;g/kg;ok;dup-000848;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;0;5;5;4.543886;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.293;2.93;2.93;Mg/ha;existing_mg_ha_with_back_calculated_carbon_content_estimated_bulk_density_state_depth;carbon_stock:estc_af;2.93;Mg/ha;ok;dup-000851;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;0;5;5;5.831062;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.376;3.76;3.76;Mg/ha;existing_mg_ha_with_back_calculated_carbon_content_estimated_bulk_density_state_depth;carbon_stock:estc_ah;3.76;Mg/ha;ok;dup-000852;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;0;5;5;14.314018;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.923;9.23;9.23;Mg/ha;existing_mg_ha_with_back_calculated_carbon_content_estimated_bulk_density_state_depth;carbon_stock:estc_hum;9.23;Mg/ha;ok;dup-000853;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;0;5;5;4.04;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.260508;2.605083;2.605083;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_mop;4.04;g/kg;ok;dup-000850;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;0;5;5;12.37;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.797645;7.976454;7.976454;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_mom;12.37;g/kg;ok;dup-000849;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;5;10;5;2.22;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.143151;1.431506;1.431506;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_af;2.22;g/kg;ok;dup-000862;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;5;10;5;2.3;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.148309;1.483092;1.483092;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_ah;2.3;g/kg;ok;dup-000863;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;5;10;5;6.39;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.412042;4.120415;4.120415;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_hum;6.39;g/kg;ok;dup-000864;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;5;10;5;4.295756;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.277;2.77;2.77;Mg/ha;existing_mg_ha_with_back_calculated_carbon_content_estimated_bulk_density_state_depth;carbon_stock:estc_af;2.77;Mg/ha;ok;dup-000867;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;5;10;5;5.009131;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.323;3.23;3.23;Mg/ha;existing_mg_ha_with_back_calculated_carbon_content_estimated_bulk_density_state_depth;carbon_stock:estc_ah;3.23;Mg/ha;ok;dup-000868;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;5;10;5;12.328975;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.795;7.95;7.95;Mg/ha;existing_mg_ha_with_back_calculated_carbon_content_estimated_bulk_density_state_depth;carbon_stock:estc_hum;7.95;Mg/ha;ok;dup-000869;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;5;10;5;2.89;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.186354;1.863537;1.863537;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_mop;2.89;g/kg;ok;dup-000866;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;5;10;5;10.7;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.68996;6.8996;6.8996;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_mom;10.7;g/kg;ok;dup-000865;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;10;20;10;1.39;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.179261;1.792606;1.792606;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_af;1.39;g/kg;ok;dup-000854;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;10;20;10;2.57;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.331439;3.314387;3.314387;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_ah;2.57;g/kg;ok;dup-000855;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;10;20;10;5.3;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.683512;6.835118;6.835118;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_hum;5.3;g/kg;ok;dup-000856;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;10;20;10;1.372471;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.177;1.77;1.77;Mg/ha;existing_mg_ha_with_back_calculated_carbon_content_estimated_bulk_density_state_depth;carbon_stock:estc_af;1.77;Mg/ha;ok;dup-000859;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;10;20;10;2.543336;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.328;3.28;3.28;Mg/ha;existing_mg_ha_with_back_calculated_carbon_content_estimated_bulk_density_state_depth;carbon_stock:estc_ah;3.28;Mg/ha;ok;dup-000860;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;10;20;10;5.249507;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.677;6.77;6.77;Mg/ha;existing_mg_ha_with_back_calculated_carbon_content_estimated_bulk_density_state_depth;carbon_stock:estc_hum;6.77;Mg/ha;ok;dup-000861;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;10;20;10;2.41;Oxidação úmida - Yeomans-Bremner (1988);1.43508;0.101343;0.310804;3.108044;3.108044;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_mop;2.41;g/kg;ok;dup-000858;active;retained_ambiguous_overlap:discordant_target_value
