unified_observation_id;source_id;dataset_id;source_observation_id;latitude;longitude;coord_x;coord_y;crs;country;state;sample_date;sample_year;sample_period_start;sample_period_end;depth_top_cm;depth_bottom_cm;layer_thickness_cm;carbon_content_g_kg;carbon_analysis_method;carbon_stock_kg_m2;carbon_stock_mg_ha;bulk_density_g_cm3;coarse_fragments_fraction;carbon_stock_00_05;carbon_stock_05_15;carbon_stock_15_30;carbon_stock_30_60;carbon_stock_60_100;target_kind;target_value;target_unit;derivation_method;quality_flag;duplicate_group_id;duplicate_status;duplicate_resolution
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:PP:786:camada:1:0-20:organic_matter_proxy;soildata_dataset;doi:10.60502/SoilData/R91CFI;PP;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;20;20;;Oxidação úmida - Yeomans-Bremner (1988);;;;;;;;;;organic_matter_proxy;14.76;g/dm3;reported_organic_matter_not_converted_to_carbon;proxy_target;dup-000845;duplicate;removed_in_favor_of:soildata_dataset
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:PP:786:camada:2:0-5:carbon_fraction:c_af;soildata_dataset;doi:10.60502/SoilData/R91CFI;PP;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;5;5;;Oxidação úmida - Yeomans-Bremner (1988);;;;;;;;;;carbon_fraction:c_af;2.22;g/kg;reported_carbon_fraction_by_source;ok;dup-000846;duplicate;removed_in_favor_of:soildata_dataset
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:PP:786:camada:2:0-5:carbon_fraction:c_ah;soildata_dataset;doi:10.60502/SoilData/R91CFI;PP;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;5;5;;Oxidação úmida - Yeomans-Bremner (1988);;;;;;;;;;carbon_fraction:c_ah;1.03;g/kg;reported_carbon_fraction_by_source;ok;dup-000847;duplicate;removed_in_favor_of:soildata_dataset
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:PP:786:camada:2:0-5:carbon_fraction:c_hum;soildata_dataset;doi:10.60502/SoilData/R91CFI;PP;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;5;5;;Oxidação úmida - Yeomans-Bremner (1988);;;;;;;;;;carbon_fraction:c_hum;3.72;g/kg;reported_carbon_fraction_by_source;ok;dup-000848;duplicate;removed_in_favor_of:soildata_dataset
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:PP:786:camada:2:0-5:carbon_stock:estc_af;soildata_dataset;doi:10.60502/SoilData/R91CFI;PP;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;5;5;;Oxidação úmida - Yeomans-Bremner (1988);;2.83;;;;;;;;carbon_stock:estc_af;2.83;Mg/ha;reported_layer_stock_by_source;ok;dup-000851;duplicate;removed_in_favor_of:soildata_dataset
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:PP:786:camada:2:0-5:carbon_stock:estc_ah;soildata_dataset;doi:10.60502/SoilData/R91CFI;PP;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;5;5;;Oxidação úmida - Yeomans-Bremner (1988);;1.31;;;;;;;;carbon_stock:estc_ah;1.31;Mg/ha;reported_layer_stock_by_source;ok;dup-000852;duplicate;removed_in_favor_of:soildata_dataset
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:PP:786:camada:2:0-5:carbon_stock:estc_hum;soildata_dataset;doi:10.60502/SoilData/R91CFI;PP;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;5;5;;Oxidação úmida - Yeomans-Bremner (1988);;4.74;;;;;;;;carbon_stock:estc_hum;4.74;Mg/ha;reported_layer_stock_by_source;ok;dup-000853;duplicate;removed_in_favor_of:soildata_dataset
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:PP:786:camada:2:0-5:carbon_fraction:c_mop;soildata_dataset;doi:10.60502/SoilData/R91CFI;PP;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;5;5;;Oxidação úmida - Yeomans-Bremner (1988);;;;;;;;;;carbon_fraction:c_mop;1.7;g/kg;reported_carbon_fraction_by_source;ok;dup-000850;duplicate;removed_in_favor_of:soildata_dataset
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:PP:786:camada:2:0-5:carbon_fraction:c_mom;soildata_dataset;doi:10.60502/SoilData/R91CFI;PP;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;5;5;;Oxidação úmida - Yeomans-Bremner (1988);;;;;;;;;;carbon_fraction:c_mom;5.56;g/kg;reported_carbon_fraction_by_source;ok;dup-000849;duplicate;removed_in_favor_of:soildata_dataset
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:PP:786:camada:3:5-10:carbon_fraction:c_af;soildata_dataset;doi:10.60502/SoilData/R91CFI;PP;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;5;10;5;;Oxidação úmida - Yeomans-Bremner (1988);;;;;;;;;;carbon_fraction:c_af;1.92;g/kg;reported_carbon_fraction_by_source;ok;dup-000862;duplicate;removed_in_favor_of:soildata_dataset
