unified_observation_id;source_id;dataset_id;source_observation_id;latitude;longitude;coord_x;coord_y;crs;country;state;sample_date;sample_year;sample_period_start;sample_period_end;depth_top_cm;depth_bottom_cm;layer_thickness_cm;carbon_content_g_kg;carbon_analysis_method;carbon_stock_kg_m2;carbon_stock_mg_ha;bulk_density_g_cm3;coarse_fragments_fraction;carbon_stock_00_05;carbon_stock_05_15;carbon_stock_15_30;carbon_stock_30_60;carbon_stock_60_100;target_kind;target_value;target_unit;derivation_method;quality_flag;duplicate_group_id;duplicate_status;duplicate_resolution
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:MN:786:camada:13:0-20:organic_matter_proxy;soildata_dataset;doi:10.60502/SoilData/R91CFI;MN;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;20;20;;Oxidação úmida - Yeomans-Bremner (1988);;;;;;;;;;organic_matter_proxy;26.78;g/dm3;reported_organic_matter_not_converted_to_carbon;proxy_target;dup-000845;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:MN:786:camada:14:0-5:carbon_fraction:c_af;soildata_dataset;doi:10.60502/SoilData/R91CFI;MN;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;5;5;;Oxidação úmida - Yeomans-Bremner (1988);;;;;;;;;;carbon_fraction:c_af;2.3;g/kg;reported_carbon_fraction_by_source;ok;dup-000846;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:MN:786:camada:14:0-5:carbon_fraction:c_ah;soildata_dataset;doi:10.60502/SoilData/R91CFI;MN;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;5;5;;Oxidação úmida - Yeomans-Bremner (1988);;;;;;;;;;carbon_fraction:c_ah;2.95;g/kg;reported_carbon_fraction_by_source;ok;dup-000847;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:MN:786:camada:14:0-5:carbon_fraction:c_hum;soildata_dataset;doi:10.60502/SoilData/R91CFI;MN;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;5;5;;Oxidação úmida - Yeomans-Bremner (1988);;;;;;;;;;carbon_fraction:c_hum;7.25;g/kg;reported_carbon_fraction_by_source;ok;dup-000848;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:MN:786:camada:14:0-5:carbon_stock:estc_af;soildata_dataset;doi:10.60502/SoilData/R91CFI;MN;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;5;5;;Oxidação úmida - Yeomans-Bremner (1988);;2.93;;;;;;;;carbon_stock:estc_af;2.93;Mg/ha;reported_layer_stock_by_source;ok;dup-000851;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:MN:786:camada:14:0-5:carbon_stock:estc_ah;soildata_dataset;doi:10.60502/SoilData/R91CFI;MN;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;5;5;;Oxidação úmida - Yeomans-Bremner (1988);;3.76;;;;;;;;carbon_stock:estc_ah;3.76;Mg/ha;reported_layer_stock_by_source;ok;dup-000852;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:MN:786:camada:14:0-5:carbon_stock:estc_hum;soildata_dataset;doi:10.60502/SoilData/R91CFI;MN;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;5;5;;Oxidação úmida - Yeomans-Bremner (1988);;9.23;;;;;;;;carbon_stock:estc_hum;9.23;Mg/ha;reported_layer_stock_by_source;ok;dup-000853;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:MN:786:camada:14:0-5:carbon_fraction:c_mop;soildata_dataset;doi:10.60502/SoilData/R91CFI;MN;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;5;5;;Oxidação úmida - Yeomans-Bremner (1988);;;;;;;;;;carbon_fraction:c_mop;4.04;g/kg;reported_carbon_fraction_by_source;ok;dup-000850;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:MN:786:camada:14:0-5:carbon_fraction:c_mom;soildata_dataset;doi:10.60502/SoilData/R91CFI;MN;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;0;5;5;;Oxidação úmida - Yeomans-Bremner (1988);;;;;;;;;;carbon_fraction:c_mom;12.37;g/kg;reported_carbon_fraction_by_source;ok;dup-000849;active;retained_ambiguous_overlap:discordant_target_value
soildata_dataset:doi:10.60502/SoilData/R91CFI:786:evento+786:camada:MN:786:camada:15:5-10:carbon_fraction:c_af;soildata_dataset;doi:10.60502/SoilData/R91CFI;MN;-23.8;-54.1;-54.1;-23.8;EPSG:4326;Brazil;MS;;2019;2019;2019;5;10;5;;Oxidação úmida - Yeomans-Bremner (1988);;;;;;;;;;carbon_fraction:c_af;2.22;g/kg;reported_carbon_fraction_by_source;ok;dup-000862;active;retained_ambiguous_overlap:discordant_target_value
